ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
014.83,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
014.84,3.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
014.85,4.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
014.86,4.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,
015.00,57.0,8.0,12.0,7.0,10.0,6.0,3.0,5.0,3.0,2.0,,,,1.0,,,,,,,,,,,,
015.01,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
015.02,4.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
015.03,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
015.04,16.0,9.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,
015.05,4.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
015.06,5.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
015.10,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
015.14,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
015.15,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
015.20,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
015.23,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
015.70,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
015.80,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
015.83,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
015.84,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
015.85,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
015.90,6.0,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,
016.00,7.0,,2.0,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
016.01,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
016.04,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
016.06,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
016.10,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
016.13,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
016.20,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
016.30,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
016.34,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
016.50,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
016.54,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
016.64,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
016.74,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
016.90,8.0,,,2.0,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,
016.94,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
016.95,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
017.00,5.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
017.03,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
017.04,4.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
017.06,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
017.20,23.0,2.0,6.0,4.0,4.0,3.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,
017.21,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
017.22,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
017.23,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
017.24,7.0,4.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
017.25,7.0,4.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
017.26,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
017.30,6.0,,1.0,,1.0,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,
017.35,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
017.40,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
017.52,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
017.60,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
017.66,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
017.70,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
017.90,11.0,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,
